HMD,TMP,PRS,MVT,IND,NH3,CO2,DST
36.12,31.99,1011.62,0.0,69.11,415.0,419.0,0.0
35.07,32.18,1011.56,0.0,69.29,409.0,418.0,0.0
35.29,32.23,1011.55,0.0,69.11,418.0,428.0,0.0
33.76,32.1,1011.59,0.0,69.09,419.0,427.0,0.0
35.71,32.29,1011.6,0.0,69.13,419.0,422.0,0.0
35.78,32.5,1011.52,0.0,68.92,410.0,425.0,0.0
33.3,32.34,1011.57,0.0,69.16,419.0,419.0,0.0
35.19,32.39,1011.64,0.0,69.04,411.0,420.0,0.0
34.33,32.52,1011.54,0.0,69.24,408.0,426.0,0.0
37.09,32.58,1011.55,0.0,69.48,418.0,427.0,0.0
35.51,32.56,1011.59,0.0,69.65,416.0,418.0,0.0
33.32,32.74,1011.59,0.0,69.63,408.0,430.0,0.0
37.56,32.69,1011.55,0.0,69.56,417.0,424.0,0.0
36.16,32.69,1011.59,0.0,69.41,416.0,420.0,0.0
36.14,32.78,1011.61,0.0,69.06,410.0,428.0,0.0
33.32,32.9,1011.55,0.0,69.07,417.0,421.0,0.0
33.67,32.92,1011.57,0.0,68.73,416.0,429.0,0.0
35.04,32.98,1011.6,0.0,68.75,406.0,427.0,0.0
34.34,33.03,1011.56,0.0,69.09,416.0,433.0,0.0
33.62,33.19,1011.62,0.0,68.95,410.0,429.0,0.0
34.35,33.18,1011.58,0.0,68.71,412.0,433.0,0.0
36.86,33.18,1011.56,0.0,68.65,416.0,422.0,0.0
36.97,33.16,1011.59,0.0,68.72,414.0,428.0,0.0
34.29,33.27,1011.55,0.0,68.85,407.0,431.0,0.0
35.21,33.25,1011.59,0.0,69.07,417.0,432.0,0.0
31.64,33.34,1011.54,0.0,68.86,405.0,428.0,0.0
32.64,33.38,1011.56,0.0,69.16,412.0,423.0,0.0
34.34,33.47,1011.6,0.0,69.2,417.0,431.0,0.0
33.08,33.45,1011.58,0.0,68.37,417.0,422.0,0.0
34.49,33.59,1011.56,0.0,68.02,415.0,420.0,0.0
32.45,33.49,1011.61,0.0,68.66,415.0,426.0,0.0
32.97,33.47,1011.59,0.0,68.88,405.0,427.0,0.0
33.43,33.61,1011.58,0.0,68.84,407.0,431.0,0.0
36.66,33.65,1011.56,0.0,69.15,414.0,429.0,0.0
33.17,33.76,1011.58,0.0,69.07,418.0,432.0,0.0
31.33,33.72,1011.61,0.0,68.85,419.0,433.0,0.0
33.23,33.89,1011.61,0.0,68.34,406.0,423.0,0.0
33.57,33.83,1011.58,0.0,68.63,408.0,423.0,0.0
31.4,33.81,1011.6,0.0,68.78,413.0,430.0,0.0
34.62,33.9,1011.64,0.0,68.54,416.0,432.0,0.0
35.38,34.01,1011.6,0.0,68.59,413.0,429.0,0.0
33.19,33.96,1011.58,0.0,68.52,410.0,428.0,0.0
34.32,33.94,1011.63,0.0,68.12,416.0,424.0,0.0
33.29,34.18,1011.62,0.0,68.31,409.0,433.0,0.0
32.57,34.16,1011.54,0.0,68.32,415.0,422.0,0.0
32.95,34.16,1011.58,0.0,67.94,413.0,430.0,0.0
33.1,34.21,1011.65,0.0,68.53,414.0,423.0,0.0
33.49,34.29,1011.64,0.0,68.13,408.0,421.0,0.0
34.56,34.45,1011.6,0.0,68.26,417.0,433.0,0.0
32.22,34.32,1011.54,0.0,68.44,404.0,428.0,0.0
32.18,34.43,1011.57,0.0,68.83,413.0,425.0,0.0
32.73,34.49,1011.63,0.0,68.94,408.0,420.0,0.0
30.88,34.49,1011.68,0.0,68.64,413.0,431.0,0.0
32.59,34.5,1011.62,0.0,68.84,412.0,430.0,0.0
30.83,34.61,1011.59,0.0,68.62,415.0,431.0,0.0
30.08,34.78,1011.58,0.0,68.49,417.0,429.0,0.0
33.72,34.59,1011.64,0.0,68.18,414.0,432.0,0.0
30.8,34.56,1011.62,0.0,68.35,415.0,423.0,0.0
33.18,34.61,1011.62,0.0,68.23,413.0,422.0,0.0
30.27,34.59,1011.57,0.0,68.3,414.0,429.0,0.0
32.35,34.69,1011.59,0.0,68.7,403.0,427.0,0.0
28.55,34.74,1011.59,0.0,68.99,405.0,433.0,0.0
31.96,34.83,1011.63,0.0,69.0,403.0,427.0,0.0
32.3,34.89,1011.58,0.0,69.08,414.0,426.0,0.0
32.39,34.94,1011.59,0.0,68.65,410.0,432.0,0.0
32.37,34.96,1011.58,0.0,68.51,408.0,428.0,0.0
29.72,34.9,1011.63,0.0,68.6,405.0,431.0,0.0
32.74,34.96,1011.55,0.0,68.43,404.0,431.0,0.0
31.34,35.07,1011.56,0.0,68.36,403.0,430.0,0.0
32.27,35.01,1011.62,0.0,68.7,408.0,422.0,0.0
34.15,35.1,1011.6,0.0,68.52,408.0,425.0,0.0
31.87,35.14,1011.59,0.0,68.31,412.0,427.0,0.0
31.55,35.2,1011.57,0.0,68.48,404.0,428.0,0.0
31.3,35.09,1011.6,0.0,68.35,405.0,429.0,0.0
31.75,35.25,1011.65,0.0,68.35,402.0,429.0,0.0
31.98,35.2,1011.59,0.0,68.42,412.0,430.0,0.0
31.24,35.32,1011.55,0.0,68.39,408.0,422.0,0.0
31.05,35.29,1011.55,0.0,68.26,412.0,434.0,0.0
31.29,35.47,1011.56,0.0,68.13,408.0,433.0,0.0
29.69,35.58,1011.63,0.0,68.43,412.0,422.0,0.0
33.61,35.5,1011.58,0.0,68.48,407.0,423.0,0.0
30.87,35.56,1011.57,0.0,68.39,409.0,429.0,0.0
31.47,35.6,1011.59,0.0,68.02,410.0,431.0,0.0
31.95,35.58,1011.63,0.0,67.99,409.0,430.0,0.0
31.25,35.5,1011.56,0.0,68.05,411.0,429.0,0.0
31.34,35.61,1011.57,0.0,67.97,411.0,432.0,0.0
33.48,35.63,1011.61,0.0,68.16,403.0,430.0,0.0
30.9,35.6,1011.64,0.0,67.93,407.0,432.0,0.0
31.38,35.69,1011.61,0.0,67.53,406.0,437.0,0.0
31.34,35.76,1011.58,0.0,68.02,408.0,434.0,0.0
32.15,35.81,1011.6,0.0,68.19,410.0,430.0,0.0
31.13,35.76,1011.63,0.0,68.02,401.0,439.0,0.0
32.24,35.85,1011.62,0.0,67.68,406.0,437.0,0.0
31.0,35.83,1011.57,0.0,67.77,399.0,439.0,0.0
31.11,35.87,1011.58,0.0,67.65,410.0,428.0,0.0
31.23,35.89,1011.59,0.0,67.83,406.0,431.0,0.0
30.08,35.87,1011.64,0.0,68.3,407.0,435.0,0.0
31.01,35.96,1011.61,0.0,68.07,403.0,438.0,0.0
30.56,35.92,1011.6,0.0,67.96,411.0,429.0,0.0
30.34,35.9,1011.59,0.0,67.3,407.0,428.0,0.0
30.39,36.0,1011.6,0.0,67.98,409.0,427.0,0.0
30.8,35.9,1011.63,0.0,67.64,409.0,438.0,0.0
30.5,36.07,1011.67,0.0,67.44,409.0,435.0,0.0
33.63,35.92,1011.66,0.0,67.03,399.0,435.0,0.0
31.53,36.07,1011.6,0.0,66.93,398.0,432.0,0.0
30.93,36.07,1011.64,0.0,67.31,401.0,429.0,0.0
32.09,36.07,1011.62,0.0,67.13,406.0,436.0,0.0
30.49,36.2,1011.67,0.0,67.26,404.0,435.0,0.0
30.96,36.3,1011.64,0.0,67.36,402.0,437.0,0.0
30.41,36.25,1011.64,0.0,67.34,407.0,434.0,0.0
29.74,36.36,1011.61,0.0,67.68,408.0,426.0,0.0
30.61,36.3,1011.6,0.0,67.39,407.0,431.0,0.0
31.31,36.29,1011.61,0.0,67.58,403.0,435.0,0.0
29.42,36.36,1011.67,0.0,67.5,396.0,429.0,0.0
31.21,36.4,1011.63,0.0,67.33,402.0,435.0,0.0
32.54,36.29,1011.6,0.0,67.5,401.0,432.0,0.0
32.21,36.32,1011.6,0.0,67.72,407.0,432.0,0.0
25.25,36.32,1011.58,0.0,67.22,400.0,428.0,0.0
29.49,36.4,1011.6,0.0,66.83,396.0,422.0,0.0
29.22,36.43,1011.58,0.0,67.1,401.0,433.0,0.0
29.66,36.43,1011.6,0.0,67.12,405.0,436.0,0.0
31.02,36.52,1011.6,0.0,67.07,397.0,430.0,0.0
32.03,36.47,1011.6,0.0,67.53,397.0,426.0,0.0
31.48,36.5,1011.62,0.0,67.41,399.0,424.0,0.0
29.99,36.6,1011.62,0.0,67.64,402.0,431.0,0.0
29.94,36.54,1011.61,0.0,67.55,409.0,435.0,0.0
29.59,36.49,1011.62,0.0,67.62,402.0,434.0,0.0
28.9,36.58,1011.63,0.0,67.87,396.0,427.0,0.0
31.36,36.67,1011.66,0.0,67.63,395.0,422.0,0.0
30.4,36.69,1011.61,0.0,67.3,397.0,423.0,0.0
29.53,36.78,1011.59,0.0,67.3,405.0,433.0,0.0
29.66,36.65,1011.62,0.0,67.18,406.0,433.0,0.0
30.83,36.72,1011.62,0.0,67.26,394.0,425.0,0.0
28.73,36.89,1011.64,0.0,67.09,405.0,433.0,0.0
29.64,36.72,1011.58,0.0,67.06,398.0,427.0,0.0
29.7,36.81,1011.61,0.0,67.53,397.0,423.0,0.0
31.19,36.89,1011.6,0.0,67.55,403.0,431.0,0.0
29.66,36.9,1011.62,0.0,67.38,404.0,434.0,0.0
29.78,36.85,1011.59,0.0,67.24,403.0,432.0,0.0
29.65,36.87,1011.6,0.0,66.85,403.0,431.0,0.0
